WITTCASE NUMBER: HB001159
SAMPLE NUMBER:   19
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 19.25   	  96.64		 53.61   	 -25.43		
 19.63   	  96.64		 53.51   	 -30.52		
 20.02   	 101.73		 53.39   	 -25.43		
 20.43   	 101.73		 53.29   	 -20.35		
 20.83   	 106.82		 53.20   	 -15.26		
 21.26   	 106.82		 53.14   	 -20.35		
 21.69   	 101.73		 53.06   	 -20.35		
 22.10   	  96.64		 52.98   	 -10.17		
 22.48   	  86.47		 52.94   	   5.09		
 22.83   	  81.38		 52.96   	  25.43		
 23.15   	  81.38		 53.06   	  55.95		
 23.48   	  71.21		 53.29   	  96.64		
 23.76   	  71.21		 53.67   	 142.42		
 24.05   	  61.04		 54.24   	 172.94		
 24.29   	  61.04		 54.93   	 208.54		
 24.54   	  50.86		 55.77   	 223.80		
 24.74   	  50.86		 56.66   	 233.98		
 24.94   	  45.78		 57.60   	 239.06		
 25.13   	  40.69		 58.56   	 233.98		
 25.29   	  30.52		 59.49   	 233.98		
 25.41   	  35.61		 60.43   	 223.80		
 25.55   	  35.61		 61.32   	 223.80		
 25.70   	  35.61		 62.22   	 213.63		
 25.84   	  40.69		 63.07   	 213.63		
 26.00   	  40.69		 63.93   	 203.46		
 26.16   	  30.52		 64.74   	 203.46		
 26.29   	  35.61		 65.55   	 198.37		
 26.43   	  40.69		 66.35   	 198.37		
 26.59   	  30.52		 67.14   	 193.29		
 26.71   	  25.43		 67.91   	 193.29		
 26.82   	  25.43		 68.69   	 193.29		
 26.92   	  25.43		 69.46   	 198.37		
 27.02   	  15.26		 70.25   	 193.29		
 27.08   	  15.26		 71.03   	 198.37		
 27.14   	  15.26		 71.82   	 193.29		
 27.20   	   5.09		 72.59   	 188.20		
 27.22   	   5.09		 73.35   	 188.20		
 27.24   	   5.09		 74.10   	 188.20		
 27.26   	   0.00		 74.85   	 183.11		
 27.26   	  -5.09		 75.58   	 183.11		
 27.24   	 -10.17		 76.32   	 172.94		
 27.20   	 -15.26		 77.01   	 162.77		
 27.14   	 -15.26		 77.66   	 152.59		
 27.08   	 -15.26		 78.27   	 147.51		
 27.02   	 -25.43		 78.86   	 132.25		
 26.92   	 -25.43		 79.39   	 127.16		
 26.82   	 -30.52		 79.90   	 111.90		
 26.69   	 -25.43		 80.35   	 106.82		
 26.59   	 -30.52		 80.77   	  86.47		
 26.47   	 -40.69		 81.12   	  66.12		
 26.31   	 -55.95		 81.38   	  55.95		
 26.08   	 -61.04		 81.61   	  45.78		
 25.84   	 -71.21		 81.79   	  30.52		
 25.55   	 -91.56		 81.91   	  20.35		
 25.19   	 -96.64		 81.99   	  10.17		
 24.80   	-106.82		 82.03(S)	   0.00		
 24.37   	-116.99		 82.03   	 -15.26		
 23.91   	-122.07		 81.97   	 -30.52		
 23.42   	 -96.64		 81.85   	 -40.69		
 23.03   	 -50.86		 81.69   	 -55.95		
 22.83   	 -40.69		 81.46   	 -61.04		
 22.67   	 -25.43		 81.22   	 -71.21		
 22.56   	 -10.17		 80.94   	 -76.30		
 22.52   	 -10.17		 80.63   	 -81.38		
 22.48   	 -25.43		 80.30   	 -91.56		
 22.38   	 -30.52		 79.94   	 -96.64		
 22.26   	 -35.61		 79.55   	-101.73		
 22.12   	 -20.35		 79.15   	-106.82		
 22.03   	 -20.35		 78.72   	-116.99		
 21.95   	 -20.35		 78.25   	-127.16		
 21.87   	 -20.35		 77.74   	-137.33		
 21.79   	 -25.43		 77.19   	-152.59		
 21.69   	 -30.52		 76.58   	-152.59		
 21.57   	 -30.52		 75.97   	-157.68		
 21.44   	 -30.52		 75.34   	-157.68		
 21.32   	 -35.61		 74.71   	-147.51		
 21.18   	 -40.69		 74.12   	-152.59		
 21.02   	 -40.69		 73.51   	-152.59		
 20.85   	 -35.61		 72.90   	-147.51		
 20.71   	 -35.61		 72.31   	-142.42		
 20.57   	 -40.69		 71.74   	-127.16		
 20.41   	 -35.61		 71.23   	-111.90		
 20.26   	 -40.69		 70.78   	-101.73		
 20.10   	 -35.61		 70.38   	 -96.64		
 19.96   	 -35.61		 69.99   	 -96.64		
 19.82   	 -30.52		 69.60   	 -96.64		
 19.69   	 -30.52		 69.22   	 -96.64		
 19.57   	 -25.43		 68.83   	 -91.56		
 19.47   	 -20.35		 68.46   	 -91.56		
 19.39   	 -20.35		 68.10   	 -86.47		
 19.31   	 -20.35		 67.75   	 -86.47		
 19.23   	 -15.26		 67.41   	 -71.21		
 19.17   	 -20.35		 67.12   	 -76.30		
 19.08   	 -15.26		 66.82   	 -71.21		
 19.02   	 -20.35		 66.53   	 -71.21		
 18.94   	 -25.43		 66.25   	 -61.04		
 18.84   	 -25.43		 66.00   	 -66.12		
 18.74   	 -25.43		 65.74   	 -55.95		
 18.64   	 -30.52		 65.51   	 -61.04		
 18.51   	 -30.52		 65.27   	 -50.86		
 18.39   	 -35.61		 65.07   	 -50.86		
 18.25   	 -25.43		 64.86   	 -45.78		
 18.15   	 -25.43		 64.68   	 -50.86		
 18.05   	 -25.43		 64.48   	 -45.78		
 17.94   	 -25.43		 64.29   	 -45.78		
 17.84   	 -20.35		 64.11   	 -40.69		
 17.76   	 -20.35		 63.95   	 -40.69		
 17.68   	 -20.35		 63.78   	 -35.61		
 17.60   	 -15.26		 63.64   	 -35.61		
 17.54   	 -20.35		 63.50   	 -35.61		
 17.46   	 -15.26		 63.36   	 -40.69		
 17.40   	 -25.43		 63.19   	 -40.69		
 17.29   	 -30.52		 63.03   	 -40.69		
 17.17   	 -30.52		 62.87   	 -30.52		
 17.05   	 -25.43		 62.75   	 -30.52		
 16.95   	 -30.52		 62.62   	 -35.61		
 16.83   	 -30.52		 62.48   	 -35.61		
 16.70   	 -25.43		 62.34   	 -35.61		
 16.60   	 -20.35		 62.20   	 -35.61		
 16.52   	 -15.26		 62.05   	 -35.61		
 16.46   	 -20.35		 61.91   	 -40.69		
 16.38   	 -15.26		 61.75   	 -30.52		
 16.32   	 -15.26		 61.63   	 -35.61		
 16.26   	 -10.17		 61.49   	 -30.52		
 16.22   	 -10.17		 61.36   	 -30.52		
 16.17   	 -15.26		 61.24   	 -35.61		
 16.11   	 -15.26		 61.10   	 -35.61		
 16.05   	 -20.35		 60.96   	 -35.61		
 15.97   	 -15.26		 60.81   	 -35.61		
 15.91   	 -20.35		 60.67   	 -35.61		
 15.83   	 -25.43		 60.53   	 -40.69		
 15.73   	 -25.43		 60.37   	 -30.52		
 15.63   	 -20.35		 60.24   	 -35.61		
 15.54   	 -20.35		 60.10   	 -30.52		
 15.46   	 -15.26		 59.98   	 -35.61		
 15.40   	 -20.35		 59.84   	 -35.61		
 15.32   	 -10.17		 59.69   	 -30.52		
 15.28   	 -15.26		 59.57   	 -30.52		
 15.22   	 -10.17		 59.45   	 -35.61		
 15.18   	 -15.26		 59.31   	 -35.61		
 15.12   	 -15.26		 59.17   	 -35.61		
 15.06   	 -20.35		 59.02   	 -35.61		
 14.97   	 -20.35		 58.88   	 -35.61		
 14.89   	 -25.43		 58.74   	 -35.61		
 14.79   	 -25.43		 58.60   	 -40.69		
 14.69   	 -25.43		 58.43   	 -40.69		
 14.59   	 -20.35		 58.27   	 -35.61		
 14.51   	 -20.35		 58.13   	 -40.69		
 14.43   	 -25.43		 57.97   	 -35.61		
 14.32   	 -30.52		 57.82   	 -35.61		
 14.20   	 -25.43		 57.68   	 -35.61		
 14.10   	 -30.52		 57.54   	 -35.61		
 13.98   	 -25.43		 57.40   	 -40.69		
 13.88   	 -35.61		 57.23   	 -30.52		
 13.73   	 -30.52		 57.11   	 -35.61		
 13.61   	 -30.52		 56.97   	 -30.52		
 13.49   	 -25.43		 56.85   	 -35.61		
 13.39   	 -30.52		 56.70   	 -30.52		
 13.27   	 -25.43		 56.58   	 -35.61		
 13.16   	 -25.43		 56.44   	 -35.61		
 13.06   	 -10.17		 56.30   	 -30.52		
 13.02   	 -10.17		 56.17   	 -30.52		
 12.98   	   5.09		 56.05   	 -25.43		
 13.00   	  10.17		 55.95   	 -25.43		
 13.04   	  40.69		 55.85   	 -30.52		
 13.20   	  35.61		 55.73   	 -30.52		
 13.35   	  35.61		 55.61   	 -35.61		
 13.49   	  55.95		 55.46   	 -25.43		
 13.71   	  50.86		 55.36   	 -25.43		
 13.92   	  66.12		 55.26   	 -30.52		
 14.18   	  71.21		 55.14   	 -25.43		
 14.47   	  71.21		 55.04   	 -30.52		
 14.75   	  81.38		 54.91   	 -30.52		
 15.08   	  86.47		 54.79   	 -35.61		
 15.42   	  71.21		 54.65   	 -30.52		
 15.71   	  66.12		 54.53   	 -35.61		
 15.97   	  71.21		 54.38   	 -30.52		
 16.26   	  81.38		 54.26   	 -30.52		
 16.58   	  86.47		 54.14   	 -30.52		
 16.93   	  81.38		 54.02   	 -30.52		
 17.25   	  81.38		 53.90   	 -35.61		
 17.58   	  81.38		 53.75   	 -35.61		
 17.90   	  81.38		 53.61   	 -35.61		
 18.23   	  86.47		 53.47   	 -30.52		
 18.58   	  91.56		 53.35   	 -30.52		
 18.94   	  91.56		 53.22   	 -25.43		
 19.31   	  96.64		 53.12   	 -25.43		
 19.69   	  96.64		 53.02   	 -20.35		
 20.08   	 106.82		 52.94   	 -30.52		
 20.51   	 101.73		 52.82   	 -25.43		
 20.92   	 101.73		 52.72   	 -20.35		
 21.32   	  91.56		 52.63   	 -15.26		
 21.69   	  86.47		 52.57   	  -5.09		
 22.03   	  91.56		 52.55(D)	   5.09		
 22.40   	  76.30		 52.57   	  25.43		
 22.71   	  71.21		 52.68   	  55.95		
