WITTCASE NUMBER: HB001204
SAMPLE NUMBER:   28
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
  7.43   	 -30.52		 78.29   	-193.29		
  7.30   	 -50.86		 77.52   	-167.85		
  7.10   	 -55.95		 76.85   	-147.51		
  6.88   	 -76.30		 76.26   	-152.59		
  6.57   	 -96.64		 75.65   	-157.68		
  6.19   	-106.82		 75.01   	-147.51		
  5.76   	-111.90		 74.42   	-116.99		
  5.31   	-111.90		 73.96   	-111.90		
  4.86   	 -66.12		 73.51   	-122.07		
  4.60   	  20.35		 73.02   	-132.25		
  4.68   	 137.33		 72.49   	-111.90		
  5.23   	 244.15		 72.04   	 -91.56		
  6.21   	 300.10		 71.68   	 -76.30		
  7.41   	 325.53		 71.37   	 -76.30		
  8.71   	 345.88		 71.07   	 -86.47		
 10.09   	 350.97		 70.72   	 -86.47		
 11.50   	 335.71		 70.38   	 -66.12		
 12.84   	 300.10		 70.11   	 -50.86		
 14.04   	 269.58		 69.91   	 -61.04		
 15.12   	 213.63		 69.66   	 -61.04		
 15.97   	 142.42		 69.42   	 -50.86		
 16.54   	  86.47		 69.22   	 -61.04		
 16.89   	  66.12		 68.97   	 -66.12		
 17.15   	  61.04		 68.71   	 -55.95		
 17.40   	  61.04		 68.48   	 -66.12		
 17.64   	  71.21		 68.22   	 -71.21		
 17.92   	  76.30		 67.93   	 -55.95		
 18.23   	  76.30		 67.71   	 -50.86		
 18.54   	  81.38		 67.51   	 -61.04		
 18.86   	  71.21		 67.26   	 -61.04		
 19.15   	  50.86		 67.02   	 -55.95		
 19.35   	  25.43		 66.80   	 -61.04		
 19.45   	 -10.17		 66.55   	 -55.95		
 19.41   	 -45.78		 66.33   	 -30.52		
 19.23   	 -81.38		 66.21   	 -30.52		
 18.90   	-101.73		 66.08   	 -35.61		
 18.49   	-116.99		 65.94   	 -35.61		
 18.03   	-116.99		 65.80   	 -25.43		
 17.56   	-101.73		 65.70   	 -25.43		
 17.15   	 -91.56		 65.59   	 -25.43		
 16.79   	 -81.38		 65.49   	 -30.52		
 16.46   	 -66.12		 65.37   	 -15.26		
 16.20   	 -50.86		 65.31   	  10.17		
 15.99   	 -45.78		 65.35   	  20.35		
 15.81   	 -50.86		 65.43   	 -15.26		
 15.61   	 -76.30		 65.37   	 -30.52		
 15.30   	 -86.47		 65.25   	  66.12		
 14.95   	-106.82		 65.51   	 127.16		
 14.53   	-122.07		 66.02   	 116.99		
 14.04   	-132.25		 66.49   	 127.16		
 13.51   	-127.16		 67.00   	 188.20		
 13.00   	-116.99		 67.75   	 223.80		
 12.53   	-106.82		 68.65   	 213.63		
 12.11   	-111.90		 69.50   	 193.29		
 11.66   	-111.90		 70.27   	 198.37		
 11.21   	-142.42		 71.07   	 203.46		
 10.64   	-167.85		 71.88   	 198.37		
  9.97   	-178.03		 72.68   	 178.03		
  9.26   	-172.94		 73.39   	 162.77		
  8.57   	-167.85		 74.04   	 157.68		
  7.89   	-152.59		 74.67   	 162.77		
  7.28   	-147.51		 75.32   	 162.77		
  6.69   	-142.42		 75.97   	 137.33		
  6.12   	-147.51		 76.52   	 122.07		
  5.53   	-152.59		 77.01   	 127.16		
  4.92   	-142.42		 77.52   	 122.07		
  4.35   	-142.42		 78.01   	  96.64		
  3.78   	-137.33		 78.39   	  76.30		
  3.23   	-127.16		 78.70   	  71.21		
  2.73   	 -91.56		 78.98   	  66.12		
  2.36   	 -81.38		 79.25   	  50.86		
  2.03   	 -76.30		 79.45   	  20.35		
  1.73   	 -61.04		 79.53   	  10.17		
  1.49   	 -45.78		 79.57   	   0.00		
  1.30   	 -10.17		 79.57   	 -30.52		
  1.26   	   0.00		 79.45   	 -45.78		
  1.26   	 -10.17		 79.27   	 -66.12		
  1.22   	 -10.17		 79.00   	 -81.38		
  1.18   	 -20.35		 78.68   	-106.82		
  1.10   	 -15.26		 78.25   	-127.16		
  1.04   	 -15.26		 77.74   	-142.42		
  0.98   	 -25.43		 77.17   	-152.59		
  0.87   	 -40.69		 76.56   	-167.85		
  0.71   	 -61.04		 75.89   	-183.11		
  0.47   	 -76.30		 75.16   	-188.20		
  0.16   	 -66.12		 74.40   	-172.94		
 -0.10   	 -55.95		 73.71   	-183.11		
