WITTCASE NUMBER: HA000169
SAMPLE NUMBER:   26
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  MPA     	  MPA'		
 83.87   	-111.90		 23.78   	 -45.78		
 83.42   	-111.90		 23.60   	 -10.17		
 82.97   	-111.90		 23.56   	  61.04		
 82.52   	-106.82		 23.80   	 162.77		
 82.10   	 -91.56		 24.46   	 167.85		
 81.73   	 -86.47		 25.13   	 122.07		
 81.38   	 -76.30		 25.62   	  55.95		
 81.08   	 -71.21		 25.84   	   5.09		
 80.79   	 -61.04		 25.86   	 -66.12		
 80.55   	 -61.04		 25.60   	-147.51		
 80.30   	 -61.04		 25.00   	-137.33		
 80.06   	 -55.95		 24.46   	-116.99		
 79.84   	 -61.04		 23.99   	-127.16		
 79.59   	 -50.86		 23.48   	 -86.47		
 79.39   	 -50.86		 23.13   	  66.12		
 79.19   	 -55.95		 23.40   	 422.18		
 78.96   	 -55.95		 25.09   	 391.66		
 78.74   	 -50.86		 26.65   	-289.93		
 78.53   	 -50.86		 25.49   	-391.66		
 78.33   	 -45.78		 23.93   	-264.50		
 78.15   	 -50.86		 22.87   	-534.08		
 77.94   	 -45.78		 20.73   	-498.47		
 77.76   	 -35.61		 18.74   	-274.67		
 77.62   	 -35.61		 17.64   	-188.20		
 77.48   	 -30.52		 16.89   	-106.82		
 77.35   	 -30.52		 16.46   	 -10.17		
 77.23   	 -35.61		 16.42   	  20.35		
 77.09   	 -25.43		 16.50   	  71.21		
 76.99   	 -25.43		 16.79   	 122.07		
 76.89   	 -30.52		 17.27   	 122.07		
 76.76   	 -30.52		 17.76   	 106.82		
 76.64   	 -30.52		 18.19   	  91.56		
 76.52   	 -30.52		 18.56   	  40.69		
 76.40   	 -25.43		 18.72   	 -35.61		
 76.30   	 -20.35		 18.58   	 -66.12		
 76.22   	 -15.26		 18.31   	-101.73		
 76.15   	 -15.26		 17.90   	-147.51		
 76.09   	 -10.17		 17.31   	-111.90		
 76.05   	 -10.17		 16.87   	 -81.38		
 76.01   	 -10.17		 16.54   	 -91.56		
 75.97   	 -10.17		 16.17   	 -55.95		
 75.93   	  -5.09		 15.95   	  -5.09		
 75.91   	 -10.17		 15.93   	   0.00		
 75.87   	 -10.17		 15.93   	  10.17		
 75.83   	 -15.26		 15.97   	  10.17		
 75.77   	 -15.26		 16.01   	  20.35		
 75.71   	 -20.35		 16.09   	 -10.17		
 75.63   	 -20.35		 16.05   	 -40.69		
 75.54   	 -20.35		 15.89   	 -40.69		
 75.46   	 -20.35		 15.73   	 -50.86		
 75.38   	 -20.35		 15.52   	 -66.12		
 75.30   	 -15.26		 15.26   	 -66.12		
 75.24   	 -10.17		 14.99   	 -66.12		
 75.20   	  -5.09		 14.73   	 -71.21		
 75.18   	  -5.09		 14.45   	 -50.86		
 75.16   	  -5.09		 14.24   	 -25.43		
 75.14   	  -5.09		 14.14   	 -10.17		
 75.12   	  -5.09		 14.10   	  -5.09		
 75.10   	 -10.17		 14.08   	  -5.09		
 75.06   	 -20.35		 14.06   	 -15.26		
 74.97   	 -20.35		 14.00   	  40.69		
