WITTCASE NUMBER: HA000215
SAMPLE NUMBER:   34
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  FA     	  FA'		
 54.26   	-122.07		119.12   	 -96.64		
 53.77   	-142.42		118.74   	-116.99		
 53.20   	-167.85		118.27   	-127.16		
 52.53   	-208.54		117.76   	-137.33		
 51.70   	-244.15		117.21   	-152.59		
 50.72   	-269.58		116.60   	-188.20		
 49.64   	-305.19		115.85   	-228.89		
 48.42   	-340.79		114.93   	-249.24		
 47.06   	-366.22		113.94   	-264.50		
 45.59   	-386.57		112.88   	-274.67		
 44.05   	-412.00		111.78   	-279.75		
 42.40   	-427.26		110.66   	-279.75		
 40.69   	-442.52		109.54   	-274.67		
 38.92   	-452.69		108.44   	-274.67		
 37.11   	-452.69		107.34   	-289.93		
 35.30   	-457.78		106.18   	-284.84		
 33.47   	-452.69		105.05   	-269.58		
 31.66   	-447.61		103.97   	-249.24		
 29.87   	-442.52		102.97   	-213.63		
 28.10   	-427.26		102.12   	-157.68		
 26.39   	-412.00		101.48   	-106.82		
 24.74   	-401.83		101.06   	 -76.30		
 23.13   	-381.48		100.75   	 -66.12		
 21.61   	-366.22		100.49   	 -61.04		
 20.14   	-350.97		100.24   	 -76.30		
 18.74   	-330.62		 99.94   	 -96.64		
 17.42   	-315.36		 99.55   	-116.99		
 16.15   	-300.10		 99.08   	-132.25		
 14.95   	-274.67		 98.56   	-142.42		
 13.86   	-264.50		 97.99   	-142.42		
 12.80   	-249.24		 97.42   	-137.33		
 11.80   	-228.89		 96.87   	-127.16		
 10.89   	-213.63		 96.36   	-106.82		
 10.03   	-193.29		 95.93   	 -76.30		
  9.26   	-183.11		 95.63   	 -45.78		
  8.52   	-167.85		 95.44   	 -25.43		
  7.85   	-157.68		 95.34   	 -10.17		
  7.22   	-137.33		 95.30   	  -5.09		
  6.67   	-132.25		 95.28   	   0.00		
  6.14   	-122.07		 95.28   	 -10.17		
  5.66   	-111.90		 95.24   	 -20.35		
  5.21   	-101.73		 95.16   	 -20.35		
  4.80   	 -96.64		 95.08   	 -30.52		
  4.42   	 -86.47		 94.95   	 -40.69		
  4.07   	 -91.56		 94.79   	 -45.78		
  3.70   	 -91.56		 94.61   	 -45.78		
  3.34   	 -81.38		 94.42   	 -45.78		
  3.01   	 -76.30		 94.24   	 -35.61		
  2.71   	 -55.95		 94.10   	 -30.52		
  2.48   	 -50.86		 93.98   	 -20.35		
  2.28   	 -35.61		 93.90   	   0.00		
  2.14   	 -25.43		 93.90   	  10.17		
  2.03   	 -15.26		 93.94   	  15.26		
  1.97   	 -10.17		 94.00   	   5.09		
  1.93   	   5.09		 94.02   	  -5.09		
  1.95   	   5.09		 94.00   	 -15.26		
  1.97   	  10.17		 93.94   	 -35.61		
  2.01   	  20.35		 93.79   	 -45.78		
  2.10   	  20.35		 93.61   	 -45.78		
  2.18   	  25.43		 93.43   	 -50.86		
  2.28   	  25.43		 93.22   	 -50.86		
  2.38   	  30.52		 93.02   	 -40.69		
  2.50   	  30.52		 92.86   	 -40.69		
  2.62   	  30.52		 92.70   	 -25.43		
  2.75   	  30.52		 92.59   	 -20.35		
  2.87   	  30.52		 92.51   	 -10.17		
  2.99   	  30.52		 92.47   	 -10.17		
  3.11   	  30.52		 92.43   	 -15.26		
  3.23   	  25.43		 92.37   	 -20.35		
  3.34   	  25.43		 92.29   	 -35.61		
  3.44   	  20.35		 92.15   	 -50.86		
  3.52   	  20.35		 91.94   	 -66.12		
  3.60   	  15.26		 91.68   	 -66.12		
  3.66   	  10.17		 91.41   	 -55.95		
  3.70   	  15.26		 91.19   	 -50.86		
  3.76   	  15.26		 90.99   	 -45.78		
  3.83   	  10.17		 90.80   	 -40.69		
  3.87   	  10.17		 90.64   	 -35.61		
  3.91   	  10.17		 90.50   	 -25.43		
  3.95   	  15.26		 90.40   	 -25.43		
  4.01   	  10.17		 90.29   	 -25.43		
  4.05   	  10.17		 90.19   	 -25.43		
  4.09   	  10.17		 90.09   	 -30.52		
  4.13   	  10.17		 89.97   	 -35.61		
  4.17   	  10.17		 89.83   	 -50.86		
  4.21   	  10.17		 89.62   	 -50.86		
