WITTCASE NUMBER: HA002118
SAMPLE NUMBER:   17
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  FA     	  FA'		
 12.17   	 -55.95		 50.64   	 -45.78		
 11.94   	 -55.95		 50.46   	 -45.78		
 11.72   	 -45.78		 50.27   	 -45.78		
 11.54   	 -45.78		 50.09   	 -45.78		
 11.35   	 -40.69		 49.91   	 -45.78		
 11.19   	 -35.61		 49.73   	 -45.78		
 11.05   	 -20.35		 49.54   	 -40.69		
 10.97   	 -20.35		 49.38   	 -45.78		
 10.89   	 -10.17		 49.20   	 -40.69		
 10.84   	 -15.26		 49.03   	 -45.78		
 10.78   	  -5.09		 48.85   	 -50.86		
 10.76   	  -5.09		 48.65   	 -45.78		
 10.74   	 -10.17		 48.46   	 -45.78		
 10.70   	  -5.09		 48.28   	 -45.78		
 10.68   	 -10.17		 48.10   	 -40.69		
 10.64   	  -5.09		 47.93   	 -40.69		
 10.62   	 -10.17		 47.77   	 -35.61		
 10.58   	 -10.17		 47.63   	 -30.52		
 10.54   	 -10.17		 47.51   	 -35.61		
 10.50   	 -15.26		 47.37   	 -40.69		
 10.44   	 -10.17		 47.20   	 -40.69		
 10.40   	 -10.17		 47.04   	 -45.78		
 10.36   	 -15.26		 46.86   	 -50.86		
 10.29   	 -10.17		 46.65   	 -50.86		
 10.25   	 -15.26		 46.45   	 -45.78		
 10.19   	 -10.17		 46.27   	 -45.78		
 10.15   	 -15.26		 46.08   	 -35.61		
 10.09   	 -10.17		 45.94   	 -40.69		
 10.05   	 -15.26		 45.78   	 -30.52		
  9.99   	 -10.17		 45.66   	 -30.52		
  9.95   	 -15.26		 45.53   	 -30.52		
  9.89   	 -10.17		 45.41   	 -35.61		
  9.85   	 -15.26		 45.27   	 -30.52		
  9.79   	 -10.17		 45.15   	 -25.43		
  9.75   	 -10.17		 45.05   	 -30.52		
  9.70   	  -5.09		 44.92   	 -30.52		
  9.68   	  -5.09		 44.80   	 -30.52		
  9.66   	   0.00		 44.68   	 -30.52		
  9.66   	   0.00		 44.56   	 -35.61		
  9.66   	   5.09		 44.41   	 -35.61		
  9.68   	   5.09		 44.27   	 -35.61		
  9.70   	   0.00		 44.13   	 -35.61		
  9.70   	  -5.09		 43.99   	 -30.52		
  9.68   	   0.00		 43.87   	 -30.52		
  9.68   	  -5.09		 43.74   	 -30.52		
  9.66   	  -5.09		 43.62   	 -35.61		
  9.64   	 -10.17		 43.48   	 -35.61		
  9.60   	 -10.17		 43.34   	 -35.61		
  9.56   	 -10.17		 43.19   	 -35.61		
  9.52   	 -10.17		 43.05   	 -35.61		
  9.48   	 -10.17		 42.91   	 -35.61		
  9.44   	  -5.09		 42.77   	 -30.52		
  9.42   	  -5.09		 42.64   	 -25.43		
  9.40   	  -5.09		 42.54   	 -20.35		
  9.38   	   0.00		 42.46   	 -25.43		
  9.38   	  -5.09		 42.36   	 -25.43		
  9.36   	   0.00		 42.26   	 -25.43		
  9.36   	   5.09		 42.16   	 -25.43		
  9.38   	   5.09		 42.05   	 -30.52		
  9.40   	   5.09		 41.93   	 -25.43		
  9.42   	  10.17		 41.83   	 -25.43		
  9.46   	  15.26		 41.73   	 -20.35		
  9.52   	  20.35		 41.65   	 -25.43		
  9.60   	  50.86		 41.55   	 -25.43		
  9.81   	  76.30		 41.44   	 -30.52		
 10.11   	 127.16		 41.32   	 -20.35		
 10.62   	 147.51		 41.24   	 -25.43		
 11.21   	  91.56		 41.14   	 -15.26		
 11.58   	  15.26		 41.08   	 -20.35		
 11.64   	  15.26		 41.00   	 -15.26		
 11.70   	  45.78		 40.94   	 -20.35		
 11.88   	  50.86		 40.85   	 -20.35		
 12.09   	  96.64		 40.77   	 -25.43		
 12.47   	 172.94		 40.67   	 -20.35		
 13.16   	 208.54		 40.59   	 -30.52		
 14.00   	 198.37		 40.47   	 -25.43		
 14.79   	 198.37		 40.37   	 -25.43		
 15.58   	 233.98		 40.26   	 -20.35		
 16.52   	 259.41		 40.18   	 -25.43		
 17.56   	 269.58		 40.08   	 -20.35		
 18.64   	 259.41		 40.00   	 -15.26		
 19.67   	 233.98		 39.94   	 -20.35		
 20.61   	 152.59		 39.86   	 -20.35		
 21.22   	  50.86		 39.78   	 -15.26		
 21.42   	  15.26		 39.72   	 -15.26		
 21.49   	  45.78		 39.65   	 -15.26		
 21.67   	  55.95		 39.59   	  -5.09		
 21.89   	  30.52		 39.57   	   0.00		
 22.01   	  20.35		 39.57   	  20.35		
 22.10   	  35.61		 39.65   	  35.61		
 22.24   	  45.78		 39.80   	  66.12		
 22.42   	  50.86		 40.06   	 106.82		
 22.62   	  61.04		 40.49   	 142.42		
 22.87   	  76.30		 41.06   	 183.11		
 23.17   	  86.47		 41.79   	 218.72		
 23.52   	  96.64		 42.67   	 249.24		
 23.91   	  96.64		 43.66   	 264.50		
 24.29   	  96.64		 44.72   	 274.67		
 24.68   	  91.56		 45.82   	 279.75		
 25.05   	  96.64		 46.94   	 269.58		
 25.43   	  81.38		 48.02   	 269.58		
 25.76   	  71.21		 49.09   	 274.67		
 26.04   	  66.12		 50.19   	 274.67		
 26.31   	  50.86		 51.29   	 289.93		
 26.51   	  35.61		 52.45   	 300.10		
 26.65   	  30.52		 53.65   	 315.36		
 26.78   	  35.61		 54.91   	 325.53		
 26.92   	  25.43		 56.22   	 335.71		
 27.02   	  15.26		 57.56   	 335.71		
 27.08   	  15.26		 58.90   	 340.79		
 27.14   	  20.35		 60.26   	 340.79		
 27.22   	  15.26		 61.63   	 340.79		
 27.28   	  20.35		 62.99   	 330.62		
 27.37   	  15.26		 64.31   	 325.53		
 27.43   	  15.26		 65.62   	 305.19		
 27.49   	  15.26		 66.84   	 295.01		
 27.55   	  10.17		 68.02   	 274.67		
 27.59   	   5.09		 69.11   	 264.50		
 27.61   	   5.09		 70.17   	 244.15		
 27.63   	   5.09		 71.15   	 233.98		
 27.65(S)	   0.00		 72.09   	 218.72		
 27.65   	  -5.09		 72.96   	 213.63		
 27.63   	  -5.09		 73.81   	 188.20		
 27.61   	  -5.09		 74.57   	 178.03		
 27.59   	 -10.17		 75.28   	 157.68		
 27.55   	 -15.26		 75.91   	 137.33		
 27.49   	 -15.26		 76.46   	 127.16		
 27.43   	 -10.17		 76.97   	 101.73		
 27.39   	 -15.26		 77.38   	  86.47		
 27.32   	 -25.43		 77.72   	  71.21		
 27.22   	 -30.52		 78.01   	  55.95		
 27.10   	 -30.52		 78.23   	  40.69		
 26.98   	 -35.61		 78.39   	  35.61		
 26.84   	 -35.61		 78.53   	  20.35		
 26.69   	 -40.69		 78.62   	   5.09		
 26.53   	 -40.69		 78.64(S)	 -10.17		
 26.37   	 -40.69		 78.60   	 -20.35		
 26.21   	 -45.78		 78.51   	 -35.61		
 26.02   	 -30.52		 78.37   	 -35.61		
 25.90   	 -25.43		 78.23   	 -45.78		
 25.80   	 -15.26		 78.05   	 -45.78		
 25.74   	 -20.35		 77.86   	 -55.95		
 25.66   	 -35.61		 77.64   	 -66.12		
 25.51   	 -40.69		 77.38   	 -76.30		
 25.35   	 -45.78		 77.07   	 -81.38		
 25.17   	 -50.86		 76.74   	 -86.47		
 24.96   	 -71.21		 76.40   	 -86.47		
 24.68   	 -76.30		 76.05   	 -91.56		
 24.37   	-101.73		 75.69   	 -96.64		
 23.97   	-111.90		 75.30   	-101.73		
 23.52   	-122.07		 74.89   	-106.82		
 23.03   	-147.51		 74.47   	-111.90		
 22.44   	-162.77		 74.02   	-111.90		
 21.79   	-172.94		 73.57   	-106.82		
 21.10   	-142.42		 73.14   	-101.73		
 20.53   	-122.07		 72.74   	-106.82		
 20.04   	-101.73		 72.31   	-111.90		
 19.63   	 -81.38		 71.86   	-116.99		
 19.31   	 -55.95		 71.39   	-132.25		
 19.08   	 -50.86		 70.86   	-157.68		
 18.88   	 -50.86		 70.23   	-167.85		
 18.68   	 -45.78		 69.56   	-178.03		
 18.49   	 -35.61		 68.85   	-188.20		
 18.35   	 -30.52		 68.10   	-188.20		
 18.23   	 -20.35		 67.34   	-188.20		
 18.15   	 -15.26		 66.59   	-183.11		
 18.09   	 -10.17		 65.86   	-167.85		
 18.05   	  -5.09		 65.19   	-152.59		
 18.03   	  10.17		 64.58   	-132.25		
 18.07   	  20.35		 64.05   	-122.07		
 18.15   	  25.43		 63.56   	-111.90		
 18.25   	  30.52		 63.11   	-106.82		
 18.37   	  35.61		 62.69   	-101.73		
 18.51   	  40.69		 62.28   	-111.90		
 18.68   	  30.52		 61.83   	-111.90		
 18.80   	  10.17		 61.38   	-106.82		
 18.84   	   0.00		 60.96   	-106.82		
 18.84   	 -15.26		 60.53   	 -96.64		
 18.78   	 -35.61		 60.14   	 -96.64		
 18.64   	 -45.78		 59.76   	 -96.64		
 18.45   	 -55.95		 59.37   	 -91.56		
 18.23   	 -71.21		 59.00   	 -91.56		
 17.94   	 -76.30		 58.64   	 -86.47		
 17.64   	 -81.38		 58.29   	 -86.47		
 17.31   	 -81.38		 57.94   	 -76.30		
 16.99   	 -71.21		 57.64   	 -71.21		
 16.70   	 -71.21		 57.35   	 -61.04		
 16.42   	 -55.95		 57.11   	 -55.95		
 16.20   	 -55.95		 56.89   	 -50.86		
 15.97   	 -45.78		 56.68   	 -50.86		
 15.79   	 -40.69		 56.48   	 -55.95		
 15.63   	 -35.61		 56.26   	 -50.86		
 15.48   	 -30.52		 56.05   	 -50.86		
 15.36   	 -35.61		 55.85   	 -55.95		
 15.22   	 -35.61		 55.63   	 -45.78		
 15.08   	 -35.61		 55.44   	 -45.78		
 14.93   	 -35.61		 55.26   	 -45.78		
 14.79   	 -30.52		 55.08   	 -40.69		
 14.67   	 -30.52		 54.91   	 -50.86		
 14.55   	 -25.43		 54.71   	 -50.86		
 14.45   	 -25.43		 54.51   	 -55.95		
 14.34   	 -20.35		 54.28   	 -55.95		
 14.26   	 -20.35		 54.06   	 -50.86		
 14.18   	 -15.26		 53.86   	 -50.86		
 14.12   	 -15.26		 53.65   	 -50.86		
 14.06   	 -15.26		 53.45   	 -45.78		
 14.00   	 -20.35		 53.27   	 -50.86		
 13.92   	 -20.35		 53.06   	 -50.86		
 13.84   	 -30.52		 52.86   	 -45.78		
 13.71   	 -35.61		 52.68   	 -50.86		
 13.57   	 -30.52		 52.47   	 -55.95		
 13.45   	 -35.61		 52.25   	 -50.86		
 13.31   	 -35.61		 52.04   	 -55.95		
 13.16   	 -45.78		 51.82   	 -55.95		
 12.98   	 -40.69		 51.60   	 -55.95		
 12.82   	 -50.86		 51.37   	 -55.95		
 12.61   	 -45.78		 51.15   	 -55.95		
 12.43   	 -50.86		 50.93   	 -50.86		
 12.23   	 -50.86		 50.72   	 -45.78		
 12.02   	 -55.95		 50.54   	 -45.78		
 11.80   	 -71.21		 50.36   	 -40.69		
 11.52   	 -55.95		 50.19   	 -35.61		
 11.29   	 -45.78		 50.05   	 -40.69		
 11.11   	 -40.69		 49.89   	 -35.61		
 10.95   	 -35.61		 49.75   	 -40.69		
 10.80   	 -25.43		 49.58   	 -40.69		
 10.70   	 -10.17		 49.42   	 -50.86		
 10.66   	 -10.17		 49.22   	 -45.78		
 10.62   	   0.00		 49.03   	 -50.86		
 10.62   	   0.00		 48.83   	 -55.95		
 10.62   	   0.00		 48.61   	 -50.86		
 10.62   	   0.00		 48.40   	 -45.78		
 10.62   	   0.00		 48.22   	 -50.86		
 10.62   	  -5.09		 48.02   	 -45.78		
 10.60   	  -5.09		 47.83   	 -50.86		
 10.58   	  -5.09		 47.63   	 -50.86		
 10.56   	  -5.09		 47.43   	 -50.86		
 10.54   	 -10.17		 47.22   	 -40.69		
 10.50   	 -10.17		 47.06   	 -30.52		
 10.46   	 -15.26		 46.94   	 -25.43		
 10.40   	 -10.17		 46.84   	 -20.35		
 10.36   	 -15.26		 46.75   	 -20.35		
 10.29   	 -10.17		 46.67   	 -20.35		
 10.25   	 -10.17		 46.59   	 -35.61		
 10.21   	 -10.17		 46.45   	 -40.69		
 10.17   	 -15.26		 46.29   	 -50.86		
 10.11   	 -10.17		 46.08   	 -45.78		
 10.07   	 -15.26		 45.90   	 -50.86		
 10.01   	 -15.26		 45.70   	 -45.78		
  9.95   	 -10.17		 45.51   	 -40.69		
  9.91   	 -15.26		 45.35   	 -35.61		
  9.85   	 -10.17		 45.21   	 -35.61		
  9.81   	 -10.17		 45.07   	 -35.61		
  9.77   	  -5.09		 44.92   	 -30.52		
  9.75   	   0.00		 44.80   	 -30.52		
  9.75   	   5.09		 44.68   	 -25.43		
  9.77   	   5.09		 44.58   	 -30.52		
  9.79   	   5.09		 44.46   	 -30.52		
  9.81   	  10.17		 44.33   	 -30.52		
  9.85   	   5.09		 44.21   	 -30.52		
  9.87   	   5.09		 44.09   	 -30.52		
  9.89   	   5.09		 43.97   	 -30.52		
  9.91   	   5.09		 43.85   	 -35.61		
  9.93   	   0.00		 43.70   	 -35.61		
  9.93   	 -10.17		 43.56   	 -35.61		
  9.89   	 -10.17		 43.42   	 -35.61		
  9.85   	 -10.17		 43.28   	 -25.43		
  9.81   	 -10.17		 43.17   	 -25.43		
  9.77   	 -10.17		 43.07   	 -30.52		
  9.73   	 -10.17		 42.95   	 -30.52		
  9.68   	 -10.17		 42.83   	 -30.52		
  9.64   	 -10.17		 42.71   	 -30.52		
  9.60   	  -5.09		 42.58   	 -30.52		
  9.58   	 -10.17		 42.46   	 -30.52		
  9.54   	  -5.09		 42.34   	 -35.61		
  9.52(D)	   0.00		 42.20   	 -25.43		
  9.52   	  10.17		 42.10   	 -30.52		
  9.56   	  10.17		 41.97   	 -20.35		
  9.60   	  15.26		 41.89   	 -20.35		
  9.66   	  20.35		 41.81   	 -15.26		
  9.75   	  30.52		 41.75   	 -15.26		
  9.87   	  40.69		 41.69   	 -20.35		
 10.03   	  61.04		 41.61   	 -20.35		
 10.27   	  96.64		 41.53   	 -25.43		
 10.66   	 137.33		 41.42   	 -25.43		
 11.21   	 132.25		 41.32   	 -25.43		
 11.74   	  50.86		 41.22   	 -25.43		
 11.94   	  -5.09		 41.12   	 -20.35		
 11.92   	  10.17		 41.04   	 -25.43		
 11.96   	  50.86		 40.94   	 -25.43		
 12.17   	  76.30		 40.83   	 -25.43		
 12.47   	 132.25		 40.73   	 -15.26		
 13.00   	 183.11		 40.67   	 -15.26		
 13.73   	 208.54		 40.61   	  -5.09		
 14.57   	 208.54		 40.59   	  -5.09		
 15.40   	 223.80		 40.57   	 -10.17		
 16.30   	 239.06		 40.53   	 -15.26		
 17.25   	 264.50		 40.47   	 -30.52		
 18.31   	 274.67		 40.35   	 -35.61		
 19.41   	 264.50		 40.20   	 -40.69		
 20.47   	 223.80		 40.04   	 -45.78		
 21.36   	 142.42		 39.86   	 -40.69		
 21.93   	  45.78		 39.69   	 -35.61		
 22.12   	  15.26		 39.55   	 -20.35		
 22.18   	  40.69		 39.47   	 -10.17		
