WITTCASE NUMBER: HA002363
SAMPLE NUMBER:   23
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  RFA     	  RFA'		
 29.40   	 -61.04		 85.03   	 -61.04		
 29.16   	 -66.12		 84.78   	 -61.04		
 28.89   	 -66.12		 84.54   	 -76.30		
 28.63   	 -66.12		 84.23   	 -76.30		
 28.36   	 -71.21		 83.93   	 -76.30		
 28.08   	 -66.12		 83.62   	 -76.30		
 27.81   	 -66.12		 83.32   	 -76.30		
 27.55   	 -71.21		 83.01   	 -76.30		
 27.26   	 -76.30		 82.71   	 -76.30		
 26.96   	 -81.38		 82.40   	 -71.21		
 26.63   	 -91.56		 82.12   	 -76.30		
 26.27   	-111.90		 81.81   	 -76.30		
 25.82   	-127.16		 81.51   	 -86.47		
 25.31   	-152.59		 81.16   	 -91.56		
 24.70   	-167.85		 80.79   	-106.82		
 24.03   	-178.03		 80.37   	-106.82		
 23.32   	-167.85		 79.94   	-116.99		
 22.64   	-152.59		 79.47   	-122.07		
 22.03   	-147.51		 78.98   	-127.16		
 21.44   	-132.25		 78.47   	-127.16		
 20.92   	-111.90		 77.97   	-132.25		
 20.47   	 -91.56		 77.44   	-132.25		
 20.10   	 -76.30		 76.91   	-142.42		
 19.80   	 -50.86		 76.34   	-147.51		
 19.59   	 -30.52		 75.75   	-157.68		
 19.47   	 -20.35		 75.12   	-167.85		
 19.39   	  -5.09		 74.45   	-183.11		
 19.37   	  -5.09		 73.71   	-188.20		
 19.35   	   5.09		 72.96   	-188.20		
 19.37   	   0.00		 72.21   	-193.29		
 19.37   	  -5.09		 71.43   	-183.11		
 19.35   	   0.00		 70.70   	-167.85		
 19.35   	  -5.09		 70.03   	-152.59		
 19.33   	   0.00		 69.42   	-142.42		
 19.33   	   5.09		 68.85   	-127.16		
 19.35   	  10.17		 68.34   	-111.90		
 19.39   	  10.17		 67.89   	-106.82		
 19.43   	  10.17		 67.47   	-101.73		
 19.47   	  10.17		 67.06   	-101.73		
 19.51   	   0.00		 66.65   	 -96.64		
 19.51   	 -20.35		 66.27   	 -91.56		
 19.43   	 -25.43		 65.90   	 -96.64		
 19.33   	 -40.69		 65.51   	 -91.56		
 19.17   	 -40.69		 65.15   	 -91.56		
 19.00   	 -45.78		 64.78   	 -86.47		
 18.82   	 -45.78		 64.44   	 -86.47		
 18.64   	 -55.95		 64.09   	 -76.30		
 18.41   	 -61.04		 63.78   	 -71.21		
 18.17   	 -71.21		 63.50   	 -66.12		
 17.88   	 -66.12		 63.23   	 -61.04		
 17.62   	 -71.21		 62.99   	 -50.86		
 17.33   	 -71.21		 62.79   	 -45.78		
 17.05   	 -76.30		 62.60   	 -35.61		
 16.74   	 -71.21		 62.46   	 -35.61		
 16.46   	 -71.21		 62.32   	 -30.52		
 16.17   	 -66.12		 62.20   	 -30.52		
